Geo Point;Geo Shape;Código;Nombre;Categoria;Actividad;Dirección;Teléfono;Pagina web
4.73425702500009,-74.02860457299994;"{""coordinates"": [-74.02860457299994, 4.73425702500009], ""type"": ""Point""}";03070041;Parque de Alta Blanca;3;7;;;
4.621396036000078,-74.1352639509999;"{""coordinates"": [-74.1352639509999, 4.621396036000078], ""type"": ""Point""}";03090001;Mundo Aventura;3;9;KR 71D 1 14 SUR;;www.mundoaventura.com.co
4.537717410000084,-74.09691308799995;"{""coordinates"": [-74.09691308799995, 4.537717410000084], ""type"": ""Point""}";03070079;Parque Entre Nubes;3;7;;;
4.517673210000055,-74.08974099699992;"{""coordinates"": [-74.08974099699992, 4.517673210000055], ""type"": ""Point""}";03070085;Parque San Cayetano;3;7;;;
4.664705914000081,-74.09736629199993;"{""coordinates"": [-74.09736629199993, 4.664705914000081], ""type"": ""Point""}";03080005;Centro de Alto Rendimiento;3;8;AC 63 68 45;;www.coldeportes.gov.co
4.596392066000078,-74.13437852699991;"{""coordinates"": [-74.13437852699991, 4.596392066000078], ""type"": ""Point""}";03080010;Unidad Deportiva La Alquería;3;8;;;
4.65550714200009,-74.08403657699995;"{""coordinates"": [-74.08403657699995, 4.65550714200009], ""type"": ""Point""}";03100006;Palacio de Los Deportes;3;10;;;
4.596589074000065,-74.07090064599993;"{""coordinates"": [-74.07090064599993, 4.596589074000065], ""type"": ""Point""}";03120012;Teatro La Candelaria;3;12;CL 12 2 59;;
4.707521729000064,-74.05155553399993;"{""coordinates"": [-74.05155553399993, 4.707521729000064], ""type"": ""Point""}";03120013;Teatro Leonardus;3;12;KR 21 126 05;;
4.650089629000092,-74.06425017299993;"{""coordinates"": [-74.06425017299993, 4.650089629000092], ""type"": ""Point""}";03120014;Teatro Libertador;3;12;KR 14 63 32;;
4.735937516000092,-74.04340322399992;"{""coordinates"": [-74.04340322399992, 4.735937516000092], ""type"": ""Point""}";03120025;Teatro William Shakespeare;3;12;AK 19 152 48;6149747;
4.722657280000078,-74.02757977199991;"{""coordinates"": [-74.02757977199991, 4.722657280000078], ""type"": ""Point""}";03130001;Hard Body;3;13;KR 7B 146 90;8844440;www.hardbody.com.co
4.696797821000075,-74.02945231699994;"{""coordinates"": [-74.02945231699994, 4.696797821000075], ""type"": ""Point""}";05160003;Cementerio de Usaquén;5;16;KR 6 120A 22;;
4.616491401000076,-74.07499028899991;"{""coordinates"": [-74.07499028899991, 4.616491401000076], ""type"": ""Point""}";05160004;Cementerio Central;5;16;AC 26 18 71;2691686;
4.664249711000081,-74.07519184999995;"{""coordinates"": [-74.07519184999995, 4.664249711000081], ""type"": ""Point""}";05160013;Cementerio Chapinero;5;16;AC 68 29B 84;;
4.596966234000092,-74.07282882499992;"{""coordinates"": [-74.07282882499992, 4.596966234000092], ""type"": ""Point""}";05170006;Biblioteca Luis Ángel Arango;5;17;CL 11 4 14;3431224;www.banrepcultural.org
4.663095615000088,-74.05148766199993;"{""coordinates"": [-74.05148766199993, 4.663095615000088], ""type"": ""Point""}";05170007;Biblioteca Luis Ángel Arango - Casa Gómez Campuzan;5;17;CL 80 8 66;;www.banrepcultural.org
4.597600313000044,-74.07403834099995;"{""coordinates"": [-74.07403834099995, 4.597600313000044], ""type"": ""Point""}";05170011;Centro Cultural Gabriel García Márquez;5;17;CL 11 5 60;;http://www.fce.com.co/CCGGM
4.618467185000043,-74.0685441999999;"{""coordinates"": [-74.0685441999999, 4.618467185000043], ""type"": ""Point""}";05180018;Estatua José de San Martín;5;18;;;
4.6407176890000414,-74.08014142299993;"{""coordinates"": [-74.08014142299993, 4.6407176890000414], ""type"": ""Point""}";05190008;Museo Geológico José Royo y Gómez;5;19;AK 30 45 03;3683592;
4.594515951000062,-74.0709721039999;"{""coordinates"": [-74.0709721039999, 4.594515951000062], ""type"": ""Point""}";05190020;Museo de Ciencias Naturales;5;19;KR 2 10 70;3535360 Exts.: 2209 - 2214;http://museo.lasalle.edu.co/
4.601985790000072,-74.11438640699993;"{""coordinates"": [-74.11438640699993, 4.601985790000072], ""type"": ""Point""}";05190024;Casa Museo Antonio Nariño;5;19;;;
4.6040438230000404,-74.08617020399993;"{""coordinates"": [-74.08617020399993, 4.6040438230000404], ""type"": ""Point""}";05190030;Museo de La Sociedad De Cirugía de Bogotá;5;19;CL 10 18 75;;
4.725099009000076,-74.02553993699989;"{""coordinates"": [-74.02553993699989, 4.725099009000076], ""type"": ""Point""}";05190033;Hacienda Huertas del Cedro Museo Francisco de Paula Santander;5;19;AK 7 150 21;;
4.6550842950000515,-74.10966837499988;"{""coordinates"": [-74.10966837499988, 4.6550842950000515], ""type"": ""Point""}";05200002;Maloka Centro Interactivo;5;20;AK 68D 24A 51;;www.maloka.org
4.598465998000052,-74.0765750349999;"{""coordinates"": [-74.0765750349999, 4.598465998000052], ""type"": ""Point""}";05200003;Palacio Liévano;5;20;KR 8 10 65;;
4.601938301000075,-74.07363848699991;"{""coordinates"": [-74.07363848699991, 4.601938301000075], ""type"": ""Point""}";05200004;Palacio de San Francisco;5;20;;;
4.649669451000079,-74.06313104599991;"{""coordinates"": [-74.06313104599991, 4.649669451000079], ""type"": ""Point""}";05200009;Parque de Lourdes;5;20;;;
4.59724521600009,-74.06968438399991;"{""coordinates"": [-74.06968438399991, 4.59724521600009], ""type"": ""Point""}";05200014;Plaza del Chorro de Quevedo;5;20;;;
4.601982467000084,-74.0785629529999;"{""coordinates"": [-74.0785629529999, 4.601982467000084], ""type"": ""Point""}";05200018;Plazoleta de Antonio Nariño;5;20;;;
4.647290385000076,-74.05961474499992;"{""coordinates"": [-74.05961474499992, 4.647290385000076], ""type"": ""Point""}";03080018;Club del Comercio de Bogotá;3;8;CL 62 5 88;;clubdelcomerciobogota.com/?
4.800634564000063,-74.03591899299994;"{""coordinates"": [-74.03591899299994, 4.800634564000063], ""type"": ""Point""}";03080025;Club Deportivo Los Millonarios;3;8;CL 224 9 75;6760860;www.millonarios.com.co/?
